;;;Info Loss
0.05;Fars;[l];489324.0063949785
0.05;Fars;[t];913268.7198249138
0.05;Fars;[d];167841.0317224942
0.05;Fars;[k, l];514797.3759656206
0.05;Fars;[k, t];913268.7198249138
0.05;Fars;[k, d];134880.4513637524
0.05;Fars;[d, l];84234.8542307069
0.05;Fars;[d, t];142414.2491462392
0.05;Fars;[k, d, l];88717.72875464789
0.05;Fars;[k, d, t];121171.9073113775
0.05;Atus;[k];1949536.5590199172
0.05;Atus;[l];2577201.406803188
0.05;Atus;[t];4970273.35942406
0.05;Atus;[d];523430.160611767
0.05;Atus;[k, l];2722663.716737927
0.05;Atus;[k, t];4970273.35942406
0.05;Atus;[k, d];354144.8582939836
0.05;Atus;[d, l];298255.6744106427
0.05;Atus;[d, t];546887.7340044485
0.05;Atus;[k, d, l];316985.9290154191
0.05;Atus;[k, d, t];510614.55166065297
0.05;Ihis;[k];9763074.553031053
0.05;Ihis;[l];5428093.534997522
0.05;Ihis;[t];1.4719292081181683E7
0.05;Ihis;[d];1562559.2810821538
0.05;Ihis;[k, l];6580935.164877178
0.05;Ihis;[k, t];1.4719292081181683E7
0.05;Ihis;[k, d];1447475.7033019194
0.05;Ihis;[d, l];997932.0936046259
0.05;Ihis;[d, t];1471763.5565151938
0.05;Ihis;[k, d, l];1039286.0772479607
0.05;Ihis;[k, d, t];1471763.5565151938
0.05;ACS13;[k];88567.0251448248
0.05;ACS13;[l];903178.4797390793
0.05;ACS13;[t];11164.9222565765
0.05;ACS13;[d];32467.708176524702
0.05;ACS13;[k, l];903178.4797390793
0.05;ACS13;[k, t];237244.5389233597
0.05;ACS13;[k, d];28389.6926179256
0.05;ACS13;[d, l];-1.0
0.05;ACS13;[d, t];70867.4945969987
0.05;ACS13;[k, d, l];-1.0
0.05;ACS13;[k, d, t];61543.23884306681
0.1;Adult;[k];220605.5525543982
0.1;Adult;[l];127977.1249608987
0.1;Adult;[t];285627.0768771593
0.1;Adult;[d];42668.3860074087
0.1;Adult;[k, l];145943.8697595357
0.1;Adult;[k, t];285627.0768771593
0.1;Adult;[k, d];32453.2302094409
0.1;Adult;[d, l];22239.9462196848
0.1;Adult;[d, t];35181.9731013402
0.1;Adult;[k, d, l];22239.9462196848
0.1;Adult;[k, d, t];35181.9731013402
0.1;Cup;[k];1656886.008297399
0.1;Cup;[l];1103212.8107722935
0.1;Cup;[t];1365676.5681094816
0.1;Cup;[d];236640.22823762172
0.1;Cup;[k, l];1173391.3682919715
0.1;Cup;[k, t];1365676.5681094816
0.1;Cup;[k, d];182608.58984731828
0.1;Cup;[d, l];130481.44703087289
0.1;Cup;[d, t];188685.11376583832
0.1;Cup;[k, d, l];134751.601684889
0.1;Cup;[k, d, t];147986.6583792097
0.1;Fars;[k];812203.7033898486
0.1;Fars;[l];339774.062962075
0.1;Fars;[t];827551.141915805
0.1;Fars;[d];167841.0317224942
0.1;Fars;[k, l];412812.62472859595
0.1;Fars;[k, t];827551.141915805
0.1;Fars;[k, d];121357.3427882877
0.1;Fars;[d, l];71280.0078032616
0.1;Fars;[d, t];136025.2044132246
0.1;Fars;[k, d, l];73829.8333761177
0.1;Fars;[k, d, t];113655.902474806
0.1;Atus;[k];1070275.4026049795
0.1;Atus;[l];2577201.406803188
0.1;Atus;[t];4653063.940519039
0.1;Atus;[d];523430.160611767
0.1;Atus;[k, l];2577201.406803188
0.1;Atus;[k, t];4653063.940519039
0.1;Atus;[k, d];286629.3076503708
0.1;Atus;[d, l];256675.447228223
0.1;Atus;[d, t];528157.4793996721
0.1;Atus;[k, d, l];271209.83435894
0.1;Atus;[k, d, t];482663.91783700883
0.1;Ihis;[k];8709687.12519582
0.1;Ihis;[l];5079047.2531873705
0.1;Ihis;[t];1.3217404169491876E7
0.1;Ihis;[d];1562559.2810821538
0.1;Ihis;[k, l];5428093.534997522
0.1;Ihis;[k, t];1.3217404169491876E7
0.1;Ihis;[k, d];1344154.4188402044
0.1;Ihis;[d, l];875022.2078625644
0.1;Ihis;[d, t];1471763.5565151938
0.1;Ihis;[k, d, l];890180.3387092489
0.1;Ihis;[k, d, t];1425925.230387906
0.1;ACS13;[k];25255.789322833
0.1;ACS13;[l];855242.3464477748
0.1;ACS13;[t];11164.9222565765
0.1;ACS13;[d];32467.708176524702
0.1;ACS13;[k, l];855242.3464477748
0.1;ACS13;[k, t];237244.5389233597
0.1;ACS13;[k, d];22446.0619409024
0.1;ACS13;[d, l];-1.0
0.1;ACS13;[d, t];70867.4945969987
0.1;ACS13;[k, d, l];-1.0
0.1;ACS13;[k, d, t];57826.81211579341
0.5;Adult;[k];92435.7077070793
0.5;Adult;[l];0.0
0.5;Adult;[t];154860.41679706512
0.5;Adult;[d];42668.3860074087
0.5;Adult;[k, l];23375.0352725208
0.5;Adult;[k, t];154860.41679706512
0.5;Adult;[k, d];21861.064435318196
0.5;Adult;[d, l];11106.3456109208
0.5;Adult;[d, t];33649.9118226187
0.5;Adult;[k, d, l];12512.031662053501
0.5;Adult;[k, d, t];21927.102948954896
0.5;Cup;[k];1451185.9537311262
0.5;Cup;[l];923141.2484302302
0.5;Cup;[t];1185470.6822171137
0.5;Cup;[d];236640.22823762172
0.5;Cup;[k, l];993319.8059499082
0.5;Cup;[k, t];1185470.6822171137
0.5;Cup;[k, d];164719.59175572288
0.5;Cup;[d, l];113866.68310984371
0.5;Cup;[d, t];188685.11376583832
0.5;Cup;[k, d, l];116862.6035932936
0.5;Cup;[k, d, t];131755.68120143912
0.5;Fars;[k];228426.962880633
0.5;Fars;[l];0.0
0.5;Fars;[t];54746.1359049011
0.5;Fars;[d];167841.0317224942
0.5;Fars;[k, l];0.0
0.5;Fars;[k, t];54746.1359049011
0.5;Fars;[k, d];53713.8426081726
0.5;Fars;[d, l];5515.8146637386
0.5;Fars;[d, t];130155.7199192575
0.5;Fars;[k, d, l];5515.8146637386
0.5;Fars;[k, d, t];37717.4870715778
0.5;Atus;[k];0.0
0.5;Atus;[l];0.0
0.5;Atus;[t];2202407.668391607
0.5;Atus;[d];523430.160611767
0.5;Atus;[k, l];0.0
0.5;Atus;[k, t];2202407.668391607
0.5;Atus;[k, d];0.0
0.5;Atus;[d, l];39884.900311669204
0.5;Atus;[d, t];438282.5667816689
0.5;Atus;[k, d, l];50163.2544530778
0.5;Atus;[k, d, t];306838.7016813008
0.5;Ihis;[k];3436478.1229088446
0.5;Ihis;[l];0.0
0.5;Ihis;[t];1.2375243191861313E7
0.5;Ihis;[d];1562559.2810821538
0.5;Ihis;[k, l];1154387.1302689016
0.5;Ihis;[k, t];1.2375243191861313E7
0.5;Ihis;[k, d];814573.9896551549
0.5;Ihis;[d, l];505959.44979279616
0.5;Ihis;[d, t];1471763.5565151938
0.5;Ihis;[k, d, l];505959.44979279616
0.5;Ihis;[k, d, t];1276048.8350259084
0.5;ACS13;[k];0.0
0.5;ACS13;[l];637559.3333400331
0.5;ACS13;[t];281851.78324334434
0.5;ACS13;[d];32467.708176524702
0.5;ACS13;[k, l];637559.3333400331
0.5;ACS13;[k, t];281851.78324334434
0.5;ACS13;[k, d];0.0
0.5;ACS13;[d, l];57826.81211579341
0.5;ACS13;[d, t];69631.34741734849
0.5;ACS13;[k, d, l];57826.81211579341
0.5;ACS13;[k, d, t];63898.146292710604
1.0;Adult;[k];0.0
1.0;Adult;[l];0.0
1.0;Adult;[t];0.0
1.0;Adult;[d];42668.3860074087
1.0;Adult;[k, l];0.0
1.0;Adult;[k, t];0.0
1.0;Adult;[k, d];0.0
1.0;Adult;[d, l];0.0
1.0;Adult;[d, t];33649.9118226187
1.0;Adult;[k, d, l];0.0
1.0;Adult;[k, d, t];0.0
1.0;Cup;[k];0.0
1.0;Cup;[l];0.0
1.0;Cup;[t];0.0
1.0;Cup;[d];236640.22823762172
1.0;Cup;[k, l];0.0
1.0;Cup;[k, t];0.0
1.0;Cup;[k, d];0.0
1.0;Cup;[d, l];0.0
1.0;Cup;[d, t];188685.11376583832
1.0;Cup;[k, d, l];0.0
1.0;Cup;[k, d, t];0.0
1.0;Fars;[k];0.0
1.0;Fars;[l];0.0
1.0;Fars;[t];0.0
1.0;Fars;[d];167841.0317224942
1.0;Fars;[k, l];0.0
1.0;Fars;[k, t];0.0
1.0;Fars;[k, d];0.0
1.0;Fars;[d, l];0.0
1.0;Fars;[d, t];130155.7199192575
1.0;Fars;[k, d, l];0.0
1.0;Fars;[k, d, t];0.0
1.0;Atus;[k];0.0
1.0;Atus;[l];0.0
1.0;Atus;[t];0.0
1.0;Atus;[d];523430.160611767
1.0;Atus;[k, l];0.0
1.0;Atus;[k, t];0.0
1.0;Atus;[k, d];0.0
1.0;Atus;[d, l];0.0
1.0;Atus;[d, t];347941.72665935673
1.0;Atus;[k, d, l];0.0
1.0;Atus;[k, d, t];0.0
1.0;Ihis;[k];0.0
1.0;Ihis;[l];0.0
1.0;Ihis;[t];0.0
1.0;Ihis;[d];1562559.2810821538
1.0;Ihis;[k, l];0.0
1.0;Ihis;[k, t];0.0
1.0;Ihis;[k, d];0.0
1.0;Ihis;[d, l];0.0
1.0;Ihis;[d, t];1073722.7704188202
1.0;Ihis;[k, d, l];0.0
1.0;Ihis;[k, d, t];0.0
1.0;ACS13;[k];0.0
1.0;ACS13;[l];0.0
1.0;ACS13;[t];0.0
1.0;ACS13;[d];32467.708176524702
1.0;ACS13;[k, l];0.0
1.0;ACS13;[k, t];0.0
1.0;ACS13;[k, d];0.0
1.0;ACS13;[d, l];0.0
1.0;ACS13;[d, t];32467.708176524702
1.0;ACS13;[k, d, l];0.0
1.0;ACS13;[k, d, t];0.0
