Measure;Dataset;SA;Model;Iteration;RuntimeMillis
Entropy;ACS13;MARSTAT;3_TC;8;810
Entropy;ACS13;MARSTAT;3_TC;9;795
Entropy;ACS13;MARSTAT;3_TC;10;1214
Entropy;ACS13;MARSTAT;4_DP;1;447
Entropy;ACS13;MARSTAT;4_DP;2;453
Entropy;ACS13;MARSTAT;4_DP;3;507
Entropy;ACS13;MARSTAT;4_DP;4;492
Entropy;ACS13;MARSTAT;4_DP;5;481
Entropy;ACS13;MARSTAT;4_DP;6;772
Entropy;ACS13;MARSTAT;4_DP;7;492
Entropy;ACS13;MARSTAT;4_DP;8;485
Entropy;ACS13;MARSTAT;4_DP;9;439
Entropy;ACS13;MARSTAT;4_DP;10;448
Entropy;ACS13;EDUC;0_DL;1;3115
Entropy;ACS13;EDUC;0_DL;2;2856
Entropy;ACS13;EDUC;0_DL;3;2767
Entropy;ACS13;EDUC;0_DL;4;2909
Entropy;ACS13;EDUC;0_DL;5;3240
Entropy;ACS13;EDUC;0_DL;6;2833
Entropy;ACS13;EDUC;0_DL;7;2724
Entropy;ACS13;EDUC;0_DL;8;2829
Entropy;ACS13;EDUC;0_DL;9;2761
Entropy;ACS13;EDUC;0_DL;10;3280
Entropy;ACS13;EDUC;1_RL;1;2427
Entropy;ACS13;EDUC;1_RL;2;2423
Entropy;ACS13;EDUC;1_RL;3;2462
Entropy;ACS13;EDUC;1_RL;4;2416
Entropy;ACS13;EDUC;1_RL;5;2987
Entropy;ACS13;EDUC;1_RL;6;2359
Entropy;ACS13;EDUC;1_RL;7;2412
Entropy;ACS13;EDUC;1_RL;8;2433
Entropy;ACS13;EDUC;1_RL;9;2454
Entropy;ACS13;EDUC;1_RL;10;2874
Entropy;ACS13;EDUC;2_EL;1;3946
Entropy;ACS13;EDUC;2_EL;2;2501
Entropy;ACS13;EDUC;2_EL;3;2620
Entropy;ACS13;EDUC;2_EL;4;2911
Entropy;ACS13;EDUC;2_EL;5;2455
Entropy;ACS13;EDUC;2_EL;6;3215
Entropy;ACS13;EDUC;2_EL;7;2778
Entropy;ACS13;EDUC;2_EL;8;2388
Entropy;ACS13;EDUC;2_EL;9;2399
Entropy;ACS13;EDUC;2_EL;10;2383
Entropy;ACS13;EDUC;3_TC;1;851
Entropy;ACS13;EDUC;3_TC;2;1227
Entropy;ACS13;EDUC;3_TC;3;786
Entropy;ACS13;EDUC;3_TC;4;801
Entropy;ACS13;EDUC;3_TC;5;807
Entropy;ACS13;EDUC;3_TC;6;806
Entropy;ACS13;EDUC;3_TC;7;798
Entropy;ACS13;EDUC;3_TC;8;811
Entropy;ACS13;EDUC;3_TC;9;1217
Entropy;ACS13;EDUC;3_TC;10;798
Entropy;ACS13;EDUC;4_DP;1;679
Entropy;ACS13;EDUC;4_DP;2;655
Entropy;ACS13;EDUC;4_DP;3;589
Entropy;ACS13;EDUC;4_DP;4;659
Entropy;ACS13;EDUC;4_DP;5;609
Entropy;ACS13;EDUC;4_DP;6;644
Entropy;ACS13;EDUC;4_DP;7;1135
Entropy;ACS13;EDUC;4_DP;8;628
Entropy;ACS13;EDUC;4_DP;9;637
Entropy;ACS13;EDUC;4_DP;10;653
Entropy;Atus;MARSTAT;0_DL;1;17004
Entropy;Atus;MARSTAT;0_DL;2;18266
Entropy;Atus;MARSTAT;0_DL;3;21238
Entropy;Atus;MARSTAT;0_DL;4;17892
Entropy;Atus;MARSTAT;0_DL;5;19925
Entropy;Atus;MARSTAT;0_DL;6;18097
Entropy;Atus;MARSTAT;0_DL;7;18053
Entropy;Atus;MARSTAT;0_DL;8;17859
Entropy;Atus;MARSTAT;0_DL;9;17609
Entropy;Atus;MARSTAT;0_DL;10;21238
Entropy;Atus;MARSTAT;1_RL;1;6677
Entropy;Atus;MARSTAT;1_RL;2;5871
Entropy;Atus;MARSTAT;1_RL;3;6066
Entropy;Atus;MARSTAT;1_RL;4;8380
Entropy;Atus;MARSTAT;1_RL;5;6131
Entropy;Atus;MARSTAT;1_RL;6;8738
Entropy;Atus;MARSTAT;1_RL;7;5997
Entropy;Atus;MARSTAT;1_RL;8;8556
Entropy;Atus;MARSTAT;1_RL;9;6209
Entropy;Atus;MARSTAT;1_RL;10;8372
Entropy;Atus;MARSTAT;2_EL;1;5750
Entropy;Atus;MARSTAT;2_EL;2;7799
Entropy;Atus;MARSTAT;2_EL;3;5661
Entropy;Atus;MARSTAT;2_EL;4;8199
Entropy;Atus;MARSTAT;2_EL;5;6342
Entropy;Atus;MARSTAT;2_EL;6;7961
Entropy;Atus;MARSTAT;2_EL;7;5854
Entropy;Atus;MARSTAT;2_EL;8;8170
Entropy;Atus;MARSTAT;2_EL;9;6266
Entropy;Atus;MARSTAT;2_EL;10;8015
Entropy;Atus;MARSTAT;3_TC;1;5498
Entropy;Atus;MARSTAT;3_TC;2;7690
Entropy;Atus;MARSTAT;3_TC;3;5903
Entropy;Atus;MARSTAT;3_TC;4;7358
Entropy;Atus;MARSTAT;3_TC;5;5434
Entropy;Atus;MARSTAT;3_TC;6;7747
Entropy;Atus;MARSTAT;3_TC;7;5773
Entropy;Atus;MARSTAT;3_TC;8;7607
Entropy;Atus;MARSTAT;3_TC;9;5465
Entropy;Atus;MARSTAT;3_TC;10;7980
Entropy;Atus;MARSTAT;4_DP;1;3903
Entropy;Atus;MARSTAT;4_DP;2;5580
Entropy;Atus;MARSTAT;4_DP;3;3303
Entropy;Atus;MARSTAT;4_DP;4;5906
Entropy;Atus;MARSTAT;4_DP;5;3738
Entropy;Atus;MARSTAT;4_DP;6;6851
Entropy;Atus;MARSTAT;4_DP;7;3608
Entropy;Atus;MARSTAT;4_DP;8;5811
Entropy;Atus;MARSTAT;4_DP;9;3420
Entropy;Atus;MARSTAT;4_DP;10;7334
Entropy;Atus;EDUC;0_DL;1;17689
Entropy;Atus;EDUC;0_DL;2;20739
Entropy;Atus;EDUC;0_DL;3;18283
Entropy;Atus;EDUC;0_DL;4;20131
Entropy;Atus;EDUC;0_DL;5;18009
Entropy;Atus;EDUC;0_DL;6;20410
Entropy;Atus;EDUC;0_DL;7;18924
Entropy;Atus;EDUC;0_DL;8;17836
Entropy;Atus;EDUC;0_DL;9;18089
Entropy;Atus;EDUC;0_DL;10;20197
Entropy;Atus;EDUC;1_RL;1;9154
Entropy;Atus;EDUC;1_RL;2;10841
Entropy;Atus;EDUC;1_RL;3;9279
Entropy;Atus;EDUC;1_RL;4;10981
Entropy;Atus;EDUC;1_RL;5;9265
Entropy;Atus;EDUC;1_RL;6;9030
Entropy;Atus;EDUC;1_RL;7;9214
Entropy;Atus;EDUC;1_RL;8;8811
Entropy;Atus;EDUC;1_RL;9;9084
Entropy;Atus;EDUC;1_RL;10;9155
Entropy;Atus;EDUC;2_EL;1;8888
Entropy;Atus;EDUC;2_EL;2;11094
Entropy;Atus;EDUC;2_EL;3;8615
Entropy;Atus;EDUC;2_EL;4;8991
Entropy;Atus;EDUC;2_EL;5;8461
Entropy;Atus;EDUC;2_EL;6;11000
Entropy;Atus;EDUC;2_EL;7;11876
Entropy;Atus;EDUC;2_EL;8;10989
Entropy;Atus;EDUC;2_EL;9;9247
Entropy;Atus;EDUC;2_EL;10;11331
Entropy;Atus;EDUC;3_TC;1;6068
Entropy;Atus;EDUC;3_TC;2;7407
Entropy;Atus;EDUC;3_TC;3;5528
Entropy;Atus;EDUC;3_TC;4;7613
Entropy;Atus;EDUC;3_TC;5;5614
Entropy;Atus;EDUC;3_TC;6;8232
Entropy;Atus;EDUC;3_TC;7;5710
Entropy;Atus;EDUC;3_TC;8;8406
Entropy;Atus;EDUC;3_TC;9;5924
Entropy;Atus;EDUC;3_TC;10;8564
Entropy;Atus;EDUC;4_DP;1;4181
Entropy;Atus;EDUC;4_DP;2;6136
Entropy;Atus;EDUC;4_DP;3;3731
Entropy;Atus;EDUC;4_DP;4;6483
Entropy;Atus;EDUC;4_DP;5;3965
Entropy;Atus;EDUC;4_DP;6;6275
Entropy;Atus;EDUC;4_DP;7;4099
Entropy;Atus;EDUC;4_DP;8;6297
Entropy;Atus;EDUC;4_DP;9;3943
Entropy;Atus;EDUC;4_DP;10;6616
Entropy;Ihis;MARSTAT;0_DL;1;18617
Entropy;Ihis;MARSTAT;0_DL;2;75584
Entropy;Ihis;MARSTAT;0_DL;3;76093
Entropy;Ihis;MARSTAT;0_DL;4;76568
Entropy;Ihis;MARSTAT;0_DL;5;77748
Entropy;Ihis;MARSTAT;0_DL;6;79540
Entropy;Ihis;MARSTAT;0_DL;7;77709
Entropy;Ihis;MARSTAT;0_DL;8;78432
Entropy;Ihis;MARSTAT;0_DL;9;76774
Entropy;Ihis;MARSTAT;0_DL;10;86067
Entropy;Ihis;MARSTAT;1_RL;1;42138
Entropy;Ihis;MARSTAT;1_RL;2;39646
Entropy;Ihis;MARSTAT;1_RL;3;40031
Entropy;Ihis;MARSTAT;1_RL;4;31695
Entropy;Ihis;MARSTAT;1_RL;5;9863
Entropy;Ihis;MARSTAT;1_RL;6;40672
Entropy;Ihis;MARSTAT;1_RL;7;38659
Entropy;Ihis;MARSTAT;1_RL;8;41785
Entropy;Ihis;MARSTAT;1_RL;9;40925
Entropy;Ihis;MARSTAT;1_RL;10;40242
Entropy;Ihis;MARSTAT;2_EL;1;39669
Entropy;Ihis;MARSTAT;2_EL;2;39666
Entropy;Ihis;MARSTAT;2_EL;3;39488
Entropy;Ihis;MARSTAT;2_EL;4;34913
Entropy;Ihis;MARSTAT;2_EL;5;40364
Entropy;Ihis;MARSTAT;2_EL;6;41936
Entropy;Ihis;MARSTAT;2_EL;7;39700
Entropy;Ihis;MARSTAT;2_EL;8;40297
Entropy;Ihis;MARSTAT;2_EL;9;40161
Entropy;Ihis;MARSTAT;2_EL;10;40831
Entropy;Ihis;MARSTAT;3_TC;1;40979
Entropy;Ihis;MARSTAT;3_TC;2;41003
Entropy;Ihis;MARSTAT;3_TC;3;40244
Entropy;Ihis;MARSTAT;3_TC;4;41743
Entropy;Ihis;MARSTAT;3_TC;5;41808
Entropy;Ihis;MARSTAT;3_TC;6;40992
Entropy;Ihis;MARSTAT;3_TC;7;40086
Entropy;Ihis;MARSTAT;3_TC;8;38932
Entropy;Ihis;MARSTAT;3_TC;9;38404
Entropy;Ihis;MARSTAT;3_TC;10;40648
Entropy;Ihis;MARSTAT;4_DP;1;17761
Entropy;Ihis;MARSTAT;4_DP;2;16443
Entropy;Ihis;MARSTAT;4_DP;3;17559
Entropy;Ihis;MARSTAT;4_DP;4;20848
Entropy;Ihis;MARSTAT;4_DP;5;18197
Entropy;Ihis;MARSTAT;4_DP;6;17294
Entropy;Ihis;MARSTAT;4_DP;7;19095
Entropy;Ihis;MARSTAT;4_DP;8;16430
Entropy;Ihis;MARSTAT;4_DP;9;17084
Entropy;Ihis;MARSTAT;4_DP;10;16817
Entropy;Ihis;EDUC;0_DL;1;117781
Entropy;Ihis;EDUC;0_DL;2;117141
Entropy;Ihis;EDUC;0_DL;3;117384
Entropy;Ihis;EDUC;0_DL;4;119569
Entropy;Ihis;EDUC;0_DL;5;119585
Entropy;Ihis;EDUC;0_DL;6;120505
Entropy;Ihis;EDUC;0_DL;7;58191
Entropy;Ihis;EDUC;0_DL;8;37091
Entropy;Ihis;EDUC;0_DL;9;56661
Entropy;Ihis;EDUC;0_DL;10;29928
Entropy;Ihis;EDUC;1_RL;1;25518
Entropy;Ihis;EDUC;1_RL;2;22977
Entropy;Ihis;EDUC;1_RL;3;52194
Entropy;Ihis;EDUC;1_RL;4;114190
Entropy;Ihis;EDUC;1_RL;5;27135
Entropy;Ihis;EDUC;1_RL;6;30832
Entropy;Ihis;EDUC;1_RL;7;25112
Entropy;Ihis;EDUC;1_RL;8;62538
Entropy;Ihis;EDUC;1_RL;9;59948
Entropy;Ihis;EDUC;1_RL;10;65904
Entropy;Ihis;EDUC;2_EL;1;65200
Entropy;Ihis;EDUC;2_EL;2;58466
Entropy;Ihis;EDUC;2_EL;3;56042
Entropy;Ihis;EDUC;2_EL;4;66027
Entropy;Ihis;EDUC;2_EL;5;53921
Entropy;Ihis;EDUC;2_EL;6;28032
Entropy;Ihis;EDUC;2_EL;7;22799
Entropy;Ihis;EDUC;2_EL;8;64180
Entropy;Ihis;EDUC;2_EL;9;54045
Entropy;Ihis;EDUC;2_EL;10;33051
Entropy;Ihis;EDUC;3_TC;1;30406
Entropy;Ihis;EDUC;3_TC;2;19257
Entropy;Ihis;EDUC;3_TC;3;30313
Entropy;Ihis;EDUC;3_TC;4;29984
Entropy;Ihis;EDUC;3_TC;5;32080
Entropy;Ihis;EDUC;3_TC;6;32739
Entropy;Ihis;EDUC;3_TC;7;31293
Entropy;Ihis;EDUC;3_TC;8;32950
Entropy;Ihis;EDUC;3_TC;9;30794
Entropy;Ihis;EDUC;3_TC;10;32978
Entropy;Ihis;EDUC;4_DP;1;26484
Entropy;Ihis;EDUC;4_DP;2;21045
Entropy;Ihis;EDUC;4_DP;3;16251
Entropy;Ihis;EDUC;4_DP;4;17737
Entropy;Ihis;EDUC;4_DP;5;21244
Entropy;Ihis;EDUC;4_DP;6;12614
Entropy;Ihis;EDUC;4_DP;7;7533
Entropy;Ihis;EDUC;4_DP;8;23682
Entropy;Ihis;EDUC;4_DP;9;21347
Entropy;Ihis;EDUC;4_DP;10;21952
Loss;ACS13;MARSTAT;0_DL;1;1765
Loss;ACS13;MARSTAT;0_DL;2;1843
Loss;ACS13;MARSTAT;0_DL;3;1908
Loss;ACS13;MARSTAT;0_DL;4;1913
Loss;ACS13;MARSTAT;0_DL;5;1971
Loss;ACS13;MARSTAT;0_DL;6;1915
Loss;ACS13;MARSTAT;0_DL;7;1906
Loss;ACS13;MARSTAT;0_DL;8;1919
Loss;ACS13;MARSTAT;0_DL;9;1909
Loss;ACS13;MARSTAT;0_DL;10;1902
Loss;ACS13;MARSTAT;1_RL;1;445
Loss;ACS13;MARSTAT;1_RL;2;447
Loss;ACS13;MARSTAT;1_RL;3;427
Loss;ACS13;MARSTAT;1_RL;4;442
Loss;ACS13;MARSTAT;1_RL;5;454
Loss;ACS13;MARSTAT;1_RL;6;449
Loss;ACS13;MARSTAT;1_RL;7;444
Loss;ACS13;MARSTAT;1_RL;8;450
Loss;ACS13;MARSTAT;1_RL;9;446
Loss;ACS13;MARSTAT;1_RL;10;439
Loss;ACS13;MARSTAT;2_EL;1;392
Loss;ACS13;MARSTAT;2_EL;2;343
Loss;ACS13;MARSTAT;2_EL;3;361
Loss;ACS13;MARSTAT;2_EL;4;394
Loss;ACS13;MARSTAT;2_EL;5;394
Loss;ACS13;MARSTAT;2_EL;6;367
Loss;ACS13;MARSTAT;2_EL;7;342
Loss;ACS13;MARSTAT;2_EL;8;349
Loss;ACS13;MARSTAT;2_EL;9;395
Loss;ACS13;MARSTAT;2_EL;10;344
Loss;ACS13;MARSTAT;3_TC;1;895
Loss;ACS13;MARSTAT;3_TC;2;943
Loss;ACS13;MARSTAT;3_TC;3;901
Loss;ACS13;MARSTAT;3_TC;4;909
Loss;ACS13;MARSTAT;3_TC;5;944
Loss;ACS13;MARSTAT;3_TC;6;972
Loss;ACS13;MARSTAT;3_TC;7;934
Loss;ACS13;MARSTAT;3_TC;8;939
Loss;ACS13;MARSTAT;3_TC;9;1331
Loss;ACS13;MARSTAT;3_TC;10;872
Loss;ACS13;MARSTAT;4_DP;1;489
Loss;ACS13;MARSTAT;4_DP;2;496
Loss;ACS13;MARSTAT;4_DP;3;488
Loss;ACS13;MARSTAT;4_DP;4;503
Loss;ACS13;MARSTAT;4_DP;5;490
Loss;ACS13;MARSTAT;4_DP;6;534
Loss;ACS13;MARSTAT;4_DP;7;484
Loss;ACS13;MARSTAT;4_DP;8;484
Loss;ACS13;MARSTAT;4_DP;9;529
Loss;ACS13;MARSTAT;4_DP;10;495
Loss;ACS13;EDUC;0_DL;1;2948
Loss;ACS13;EDUC;0_DL;2;2729
Loss;ACS13;EDUC;0_DL;3;2914
Loss;ACS13;EDUC;0_DL;4;2823
Loss;ACS13;EDUC;0_DL;5;2855
Loss;ACS13;EDUC;0_DL;6;2950
Loss;ACS13;EDUC;0_DL;7;2889
Loss;ACS13;EDUC;0_DL;8;2878
Loss;ACS13;EDUC;0_DL;9;2917
Loss;ACS13;EDUC;0_DL;10;2918
Loss;ACS13;EDUC;1_RL;1;2786
Loss;ACS13;EDUC;1_RL;2;2842
Loss;ACS13;EDUC;1_RL;3;2844
Loss;ACS13;EDUC;1_RL;4;2875
Loss;ACS13;EDUC;1_RL;5;2797
Loss;ACS13;EDUC;1_RL;6;3028
Loss;ACS13;EDUC;1_RL;7;2769
Loss;ACS13;EDUC;1_RL;8;2793
Loss;ACS13;EDUC;1_RL;9;2842
Loss;ACS13;EDUC;1_RL;10;2734
Loss;ACS13;EDUC;2_EL;1;2809
Loss;ACS13;EDUC;2_EL;2;2803
Loss;ACS13;EDUC;2_EL;3;2774
Loss;ACS13;EDUC;2_EL;4;2810
Loss;ACS13;EDUC;2_EL;5;2810
Loss;ACS13;EDUC;2_EL;6;2829
Loss;ACS13;EDUC;2_EL;7;2833
Loss;ACS13;EDUC;2_EL;8;2812
Loss;ACS13;EDUC;2_EL;9;2770
Loss;ACS13;EDUC;2_EL;10;2825
Loss;ACS13;EDUC;3_TC;1;877
Loss;ACS13;EDUC;3_TC;2;874
Loss;ACS13;EDUC;3_TC;3;928
Loss;ACS13;EDUC;3_TC;4;878
Loss;ACS13;EDUC;3_TC;5;908
Loss;ACS13;EDUC;3_TC;6;953
Loss;ACS13;EDUC;3_TC;7;929
Loss;ACS13;EDUC;3_TC;8;924
Loss;ACS13;EDUC;3_TC;9;911
Loss;ACS13;EDUC;3_TC;10;928
Loss;ACS13;EDUC;4_DP;1;717
Loss;ACS13;EDUC;4_DP;2;693
Loss;ACS13;EDUC;4_DP;3;1092
Loss;ACS13;EDUC;4_DP;4;630
Loss;ACS13;EDUC;4_DP;5;684
Loss;ACS13;EDUC;4_DP;6;688
Loss;ACS13;EDUC;4_DP;7;682
Loss;ACS13;EDUC;4_DP;8;698
Loss;ACS13;EDUC;4_DP;9;678
Loss;ACS13;EDUC;4_DP;10;689
Loss;Atus;MARSTAT;0_DL;1;17506
Loss;Atus;MARSTAT;0_DL;2;20609
Loss;Atus;MARSTAT;0_DL;3;17295
Loss;Atus;MARSTAT;0_DL;4;19845
Loss;Atus;MARSTAT;0_DL;5;17117
Loss;Atus;MARSTAT;0_DL;6;20039
Loss;Atus;MARSTAT;0_DL;7;17179
Loss;Atus;MARSTAT;0_DL;8;19592
Loss;Atus;MARSTAT;0_DL;9;17616
Loss;Atus;MARSTAT;0_DL;10;19593
Loss;Atus;MARSTAT;1_RL;1;6762
Loss;Atus;MARSTAT;1_RL;2;8426
Loss;Atus;MARSTAT;1_RL;3;6402
Loss;Atus;MARSTAT;1_RL;4;9123
Loss;Atus;MARSTAT;1_RL;5;6688
Loss;Atus;MARSTAT;1_RL;6;8764
Loss;Atus;MARSTAT;1_RL;7;6723
Loss;Atus;MARSTAT;1_RL;8;9356
Loss;Atus;MARSTAT;1_RL;9;6651
Loss;Atus;MARSTAT;1_RL;10;9221
Loss;Atus;MARSTAT;2_EL;1;6283
Loss;Atus;MARSTAT;2_EL;2;8253
Loss;Atus;MARSTAT;2_EL;3;6117
Loss;Atus;MARSTAT;2_EL;4;8321
Loss;Atus;MARSTAT;2_EL;5;6265
Loss;Atus;MARSTAT;2_EL;6;8162
Loss;Atus;MARSTAT;2_EL;7;6153
Loss;Atus;MARSTAT;2_EL;8;8228
Loss;Atus;MARSTAT;2_EL;9;6156
Loss;Atus;MARSTAT;2_EL;10;8292
Loss;Atus;MARSTAT;3_TC;1;5352
Loss;Atus;MARSTAT;3_TC;2;7572
Loss;Atus;MARSTAT;3_TC;3;5426
Loss;Atus;MARSTAT;3_TC;4;7562
Loss;Atus;MARSTAT;3_TC;5;5222
Loss;Atus;MARSTAT;3_TC;6;7805
Loss;Atus;MARSTAT;3_TC;7;5259
Loss;Atus;MARSTAT;3_TC;8;7569
Loss;Atus;MARSTAT;3_TC;9;5750
Loss;Atus;MARSTAT;3_TC;10;7111
Loss;Atus;MARSTAT;4_DP;1;3732
Loss;Atus;MARSTAT;4_DP;2;5400
Loss;Atus;MARSTAT;4_DP;3;3290
Loss;Atus;MARSTAT;4_DP;4;5360
Loss;Atus;MARSTAT;4_DP;5;3170
Loss;Atus;MARSTAT;4_DP;6;3243
Loss;Atus;MARSTAT;4_DP;7;3196
Loss;Atus;MARSTAT;4_DP;8;3174
Loss;Atus;MARSTAT;4_DP;9;5414
Loss;Atus;MARSTAT;4_DP;10;3375
Loss;Atus;EDUC;0_DL;1;19619
Loss;Atus;EDUC;0_DL;2;17536
Loss;Atus;EDUC;0_DL;3;20032
Loss;Atus;EDUC;0_DL;4;17845
Loss;Atus;EDUC;0_DL;5;19825
Loss;Atus;EDUC;0_DL;6;17648
Loss;Atus;EDUC;0_DL;7;19858
Loss;Atus;EDUC;0_DL;8;17600
Loss;Atus;EDUC;0_DL;9;19769
Loss;Atus;EDUC;0_DL;10;17528
Loss;Atus;EDUC;1_RL;1;12425
Loss;Atus;EDUC;1_RL;2;10161
Loss;Atus;EDUC;1_RL;3;12481
Loss;Atus;EDUC;1_RL;4;10278
Loss;Atus;EDUC;1_RL;5;11881
Loss;Atus;EDUC;1_RL;6;10177
Loss;Atus;EDUC;1_RL;7;11876
Loss;Atus;EDUC;1_RL;8;9998
Loss;Atus;EDUC;1_RL;9;11670
Loss;Atus;EDUC;1_RL;10;9959
Loss;Atus;EDUC;2_EL;1;11815
Loss;Atus;EDUC;2_EL;2;10010
Loss;Atus;EDUC;2_EL;3;11677
Loss;Atus;EDUC;2_EL;4;10331
Loss;Atus;EDUC;2_EL;5;11563
Loss;Atus;EDUC;2_EL;6;9927
Loss;Atus;EDUC;2_EL;7;11336
Loss;Atus;EDUC;2_EL;8;9664
Loss;Atus;EDUC;2_EL;9;11850
Loss;Atus;EDUC;2_EL;10;9793
Loss;Atus;EDUC;3_TC;1;8396
Loss;Atus;EDUC;3_TC;2;5388
Loss;Atus;EDUC;3_TC;3;7713
Loss;Atus;EDUC;3_TC;4;5601
Loss;Atus;EDUC;3_TC;5;7776
Loss;Atus;EDUC;3_TC;6;5728
Loss;Atus;EDUC;3_TC;7;7877
Loss;Atus;EDUC;3_TC;8;5597
Loss;Atus;EDUC;3_TC;9;8336
Loss;Atus;EDUC;3_TC;10;6229
Loss;Atus;EDUC;4_DP;1;5875
Loss;Atus;EDUC;4_DP;2;3642
Loss;Atus;EDUC;4_DP;3;6097
Loss;Atus;EDUC;4_DP;4;3706
Loss;Atus;EDUC;4_DP;5;6242
Loss;Atus;EDUC;4_DP;6;3723
Loss;Atus;EDUC;4_DP;7;6095
Loss;Atus;EDUC;4_DP;8;3770
Loss;Atus;EDUC;4_DP;9;5891
Loss;Atus;EDUC;4_DP;10;3750
Loss;Ihis;MARSTAT;0_DL;1;13413
Loss;Ihis;MARSTAT;0_DL;2;26867
Loss;Ihis;MARSTAT;0_DL;3;22889
Loss;Ihis;MARSTAT;0_DL;4;35935
Loss;Ihis;MARSTAT;0_DL;5;57072
Loss;Ihis;MARSTAT;0_DL;6;49691
Loss;Ihis;MARSTAT;0_DL;7;58071
Loss;Ihis;MARSTAT;0_DL;8;42912
Loss;Ihis;MARSTAT;0_DL;9;37195
Loss;Ihis;MARSTAT;0_DL;10;34715
Loss;Ihis;MARSTAT;1_RL;1;19337
Loss;Ihis;MARSTAT;1_RL;2;28299
Loss;Ihis;MARSTAT;1_RL;3;10017
Loss;Ihis;MARSTAT;1_RL;4;38994
Loss;Ihis;MARSTAT;1_RL;5;19032
Loss;Ihis;MARSTAT;1_RL;6;29283
Loss;Ihis;MARSTAT;1_RL;7;34921
Loss;Ihis;MARSTAT;1_RL;8;37036
Loss;Ihis;MARSTAT;1_RL;9;37678
Loss;Ihis;MARSTAT;1_RL;10;34467
Loss;Ihis;MARSTAT;2_EL;1;17617
Loss;Ihis;MARSTAT;2_EL;2;14507
Loss;Ihis;MARSTAT;2_EL;3;32343
Loss;Ihis;MARSTAT;2_EL;4;36574
Loss;Ihis;MARSTAT;2_EL;5;36558
Loss;Ihis;MARSTAT;2_EL;6;38913
Loss;Ihis;MARSTAT;2_EL;7;39762
Loss;Ihis;MARSTAT;2_EL;8;37308
Loss;Ihis;MARSTAT;2_EL;9;24352
Loss;Ihis;MARSTAT;2_EL;10;16057
Loss;Ihis;MARSTAT;3_TC;1;18875
Loss;Ihis;MARSTAT;3_TC;2;21528
Loss;Ihis;MARSTAT;3_TC;3;13460
Loss;Ihis;MARSTAT;3_TC;4;36461
Loss;Ihis;MARSTAT;3_TC;5;39213
Loss;Ihis;MARSTAT;3_TC;6;37982
Loss;Ihis;MARSTAT;3_TC;7;31658
Loss;Ihis;MARSTAT;3_TC;8;9678
Loss;Ihis;MARSTAT;3_TC;9;39937
Loss;Ihis;MARSTAT;3_TC;10;16631
Loss;Ihis;MARSTAT;4_DP;1;12852
Loss;Ihis;MARSTAT;4_DP;2;13421
Loss;Ihis;MARSTAT;4_DP;3;10844
Loss;Ihis;MARSTAT;4_DP;4;16275
Loss;Ihis;MARSTAT;4_DP;5;16617
Loss;Ihis;MARSTAT;4_DP;6;14818
Loss;Ihis;MARSTAT;4_DP;7;13615
Loss;Ihis;MARSTAT;4_DP;8;14525
Loss;Ihis;MARSTAT;4_DP;9;16450
Loss;Ihis;MARSTAT;4_DP;10;16809
Loss;Ihis;EDUC;0_DL;1;111414
Loss;Ihis;EDUC;0_DL;2;24433
Loss;Ihis;EDUC;0_DL;3;28630
Loss;Ihis;EDUC;0_DL;4;27504
Loss;Ihis;EDUC;0_DL;5;27085
Loss;Ihis;EDUC;0_DL;6;26596
