Measure;DS;SA;Model;rtMean;rtMin;rtMax;rtSd;rtMed;Measure;Entropy;;;;;;;;;;;
Entropy;ACS13;MARSTAT;3_TC;891,8;787;1232;175,0909605;816;;;;;;;;;;;;;
Loss;ACS13;MARSTAT;3_TC;964;872;1331;132,2195144;936,5;;;;;;;;;;;;;
Soria-Comas;ACS13;MARSTAT;3_TC;900,9;860;935;18,91765783;904;;;;;;;;;;;;;
Entropy;ACS13;MARSTAT;4_DP;501,6;439;772;97,84591061;483;;;;;;;;;;;;;
Loss;ACS13;MARSTAT;4_DP;499,2;484;534;18,00493759;492,5;;;;;;;;;;;;;
Soria-Comas;ACS13;MARSTAT;4_DP;528,1;474;789;94,04780108;497;;;;;;;;;;;;;
Entropy;Atus;EDUC;0_DL;19030,7;17689;20739;1207,396193;18603,5;;;;;;;;;;;;;
Loss;Atus;EDUC;0_DL;18726;17528;20032;1161,301186;18732;;;;;;;;;;;;;
Soria-Comas;Atus;EDUC;0_DL;18923,2;17422;20690;1321,2853;19161,5;;;;;;;;;;;;;
Entropy;Atus;EDUC;1_RL;9481,4;8811;10981;766,0477502;9184,5;;;;;;;;;;;;;
Loss;Atus;EDUC;1_RL;11090,6;9959;12481;1060,637041;10974;;;;;;;;;;;;;
Soria-Comas;Atus;EDUC;1_RL;9642;8644;11148;1040,41071;9080;;;;;;;;;;;;;
Entropy;Atus;EDUC;2_EL;10049,2;8461;11876;1314,452467;10118;;;;;;;;;;;;;
Loss;Atus;EDUC;2_EL;10796,6;9664;11850;923,877;10833,5;;;;;;;;;;;;;
Soria-Comas;Atus;EDUC;2_EL;9821,9;8467;11386;1191,135541;9223,5;;;;;;;;;;;;;
Entropy;Atus;EDUC;3_TC;6906,6;5528;8564;1254,91117;6737,5;;;;;;;;;;;;;
Loss;Atus;EDUC;3_TC;6864,1;5388;8396;1254,559546;6971;;;;;;;;;;;;;
Soria-Comas;Atus;EDUC;3_TC;6471,1;5231;7942;1107,600856;6014,5;;;;;;;;;;;;;
Entropy;Atus;EDUC;4_DP;5172,6;3731;6616;1264,584446;5158,5;;;;;;;;;;;;;
Loss;Atus;EDUC;4_DP;4879,1;3642;6242;1228,506994;4822,5;;;;;;;;;;;;;
Soria-Comas;Atus;EDUC;4_DP;4952,5;3767;6149;1117,294674;4897,5;;;;;;;;;;;;;
Entropy;Atus;MARSTAT;0_DL;18718,1;17004;21238;1519,417026;18075;;;;;;;;;;;;;
Loss;Atus;MARSTAT;0_DL;18639,1;17117;20609;1402,31154;18604;;;;;;;;;;;;;
Soria-Comas;Atus;MARSTAT;0_DL;18544,8;17223;19924;1213,326264;18435;;;;;;;;;;;;;
Entropy;Atus;MARSTAT;1_RL;7099,7;5871;8738;1236,812215;6443;;;;;;;;;;;;;
Loss;Atus;MARSTAT;1_RL;7811,6;6402;9356;1258,705437;7594;;;;;;;;;;;;;
Soria-Comas;Atus;MARSTAT;1_RL;7391,7;6084;8895;1090,81601;7271;;;;;;;;;;;;;
Entropy;Atus;MARSTAT;2_EL;7001,7;5661;8199;1107,503504;7070,5;;;;;;;;;;;;;
Loss;Atus;MARSTAT;2_EL;7223;6117;8321;1085,71533;7222,5;;;;;;;;;;;;;
Soria-Comas;Atus;MARSTAT;2_EL;6922,1;5783;8504;1035,823607;6887,5;;;;;;;;;;;;;
Entropy;Atus;MARSTAT;3_TC;6645,5;5434;7980;1105,94065;6630,5;;;;;;;;;;;;;
Loss;Atus;MARSTAT;3_TC;6462,8;5222;7805;1139,665721;6430,5;;;;;;;;;;;;;
Soria-Comas;Atus;MARSTAT;3_TC;6430,7;5283;7534;1055,031548;6380;;;;;;;;;;;;;
Entropy;Atus;MARSTAT;4_DP;4945,4;3303;7334;1519,094335;4741,5;;;;;;;;;;;;;
Loss;Atus;MARSTAT;4_DP;3935,4;3170;5414;1017,865654;3332,5;;;;;;;;;;;;;
Soria-Comas;Atus;MARSTAT;4_DP;4638,8;3219;6809;1287,419883;4568;;;;;;;;;;;;;
Entropy;Ihis;EDUC;0_DL;89383,6;29928;120505;38680,97966;117262,5;;;;;;;;;;;;;
Loss;Ihis;EDUC;0_DL;44061,2;24433;111710;35601,84275;27339;;;;;;;;;;;;;
Soria-Comas;Ihis;EDUC;0_DL;68213,1;24576;111959;33630,98758;69628,5;;;;;;;;;;;;;
Entropy;Ihis;EDUC;1_RL;48634,8;22977;114190;28780,54365;41513;;;;;;;;;;;;;
Loss;Ihis;EDUC;1_RL;47976,7;24342;113412;30265,28159;32039,5;;;;;;;;;;;;;
Soria-Comas;Ihis;EDUC;1_RL;59145,9;23274;72006;15699,75753;63811,5;;;;;;;;;;;;;
Entropy;Ihis;EDUC;2_EL;50176,3;22799;66027;16118,78657;55043,5;;;;;;;;;;;;;
Loss;Ihis;EDUC;2_EL;44370,1;25765;75158;19895,34676;36216,5;;;;;;;;;;;;;
Soria-Comas;Ihis;EDUC;2_EL;55609,9;22135;113950;34634,49383;52707;;;;;;;;;;;;;
Entropy;Ihis;EDUC;3_TC;30279,4;19257;32978;4035,898033;31043,5;;;;;;;;;;;;;
Loss;Ihis;EDUC;3_TC;26311,7;8204;33021;8618,69102;30258,5;;;;;;;;;;;;;
Soria-Comas;Ihis;EDUC;3_TC;24064,3;17130;32968;5794,776845;24037;;;;;;;;;;;;;
Entropy;Ihis;EDUC;4_DP;18988,9;7533;26484;5605,509957;21144,5;;;;;;;;;;;;;
Loss;Ihis;EDUC;4_DP;19199,6;7824;24037;5063,303603;21160,5;;;;;;;;;;;;;
Soria-Comas;Ihis;EDUC;4_DP;22619;12978;25339;3670,498059;22977,5;;;;;;;;;;;;;
Entropy;Ihis;MARSTAT;0_DL;72313,2;18617;86067;19101,34972;77241,5;;;;;;;;;;;;;
Loss;Ihis;MARSTAT;0_DL;37876;13413;58071;14528,70624;36565;;;;;;;;;;;;;
Soria-Comas;Ihis;MARSTAT;0_DL;30333,7;17748;57743;14605,8708;27045;;;;;;;;;;;;;
Entropy;Ihis;MARSTAT;1_RL;36565,6;9863;42138;9833,663048;40136,5;;;;;;;;;;;;;
Loss;Ihis;MARSTAT;1_RL;28906,4;10017;38994;9765,495427;31875;;;;;;;;;;;;;
Soria-Comas;Ihis;MARSTAT;1_RL;25485;9398;38049;11283,76725;23274;;;;;;;;;;;;;
Entropy;Ihis;MARSTAT;2_EL;39702,5;34913;41936;1833,365166;39930,5;;;;;;;;;;;;;
Loss;Ihis;MARSTAT;2_EL;29399,1;14507;39762;10197,64487;34450,5;;;;;;;;;;;;;
Soria-Comas;Ihis;MARSTAT;2_EL;30977,4;17019;39254;9282,08242;36534,5;;;;;;;;;;;;;
Entropy;Ihis;MARSTAT;3_TC;40483,9;38404;41808;1109,980525;40813,5;;;;;;;;;;;;;
Loss;Ihis;MARSTAT;3_TC;26542,3;9678;39937;11705,16556;26593;;;;;;;;;;;;;
Soria-Comas;Ihis;MARSTAT;3_TC;28219,2;9525;40672;10960,53288;33075,5;;;;;;;;;;;;;
Entropy;Ihis;MARSTAT;4_DP;17752,8;16430;20848;1358,740904;17426,5;;;;;;;;;;;;;
Loss;Ihis;MARSTAT;4_DP;14622,6;10844;16809;1964,898708;14671,5;;;;;;;;;;;;;
Soria-Comas;Ihis;MARSTAT;4_DP;15445,6;11905;17647;1899,160645;15495,5;;;;;;;;;;;;;
