;;;;;;;;;;;;;;;;;;;Information-loss value from ARX framework;Information-loss absolut value from utility framework;Information-loss relative value from utility framework;Minimum information loss for dataset;Maximum information loss for dataset;Difficulty;Number of distinct SA values;Skewness;Kurtosis;Deviation of frequencies;Span of frequencies;Standard deviation;Coefficient of variation;Quartile coefficient of dispersion;Normalized entropy;Product of Entropy and Standard dev of frequs
equ.-dist.-0.25-closeness;Loss;0.05;ACS13;[k, ET];false;15;;;0.25;;;Education;[Sex, Race, Age];3;;;;;0.2982761316448026;0.29827613171490497;0.29827613171490686;-2.6645352591003757E-15;1.0;0.7142857142857143;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.05-closeness;Loss;0.05;ACS13;[k, ET];false;25;;;0.05;;;Education;[Sex, Race, Age];3;;;;;0.5764035090049793;0.5764035090169484;0.5764035090169495;-2.6645352591003757E-15;1.0;0.9047619047619048;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.17-closeness;Loss;0.05;ACS13;[k, ET];false;25;;;0.17;;;Education;[Sex, Race, Age];3;;;;;0.321150991494636;0.3211509915221542;0.32115099152215604;-2.6645352591003757E-15;1.0;0.8095238095238095;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.25-closeness;Loss;0.05;ACS13;[k, ET];false;25;;;0.25;;;Education;[Sex, Race, Age];3;;;;;0.2982761316448026;0.29827613171490497;0.29827613171490686;-2.6645352591003757E-15;1.0;0.7142857142857143;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.05-closeness;Loss;0.05;Atus;[k, ET];false;5;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;1.0;1.0;1.0;5.124789481669723E-13;1.0;0.9722222222222222;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.17-closeness;Loss;0.05;Atus;[k, ET];false;5;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;0.453896173218556;0.45389617322807463;0.45389617322779474;5.124789481669723E-13;1.0;0.8611111111111112;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.25-closeness;Loss;0.05;Atus;[k, ET];false;5;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;0.27977580343250597;0.27977580351526665;0.27977580351489756;5.124789481669723E-13;1.0;0.8333333333333334;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.05-closeness;Loss;0.05;Atus;[k, ET];false;15;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;1.0;1.0;1.0;5.124789481669723E-13;1.0;0.9722222222222222;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.17-closeness;Loss;0.05;Atus;[k, ET];false;15;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;0.453896173218556;0.45389617322807463;0.45389617322779474;5.124789481669723E-13;1.0;0.8611111111111112;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.25-closeness;Loss;0.05;Atus;[k, ET];false;15;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;0.2797897127795719;0.2797897128241287;0.2797897128237596;5.124789481669723E-13;1.0;0.8333333333333334;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.05-closeness;Loss;0.05;Atus;[k, ET];false;25;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;1.0;1.0;1.0;5.124789481669723E-13;1.0;0.9722222222222222;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.17-closeness;Loss;0.05;Atus;[k, ET];false;25;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;0.453896173218556;0.45389617322807463;0.45389617322779474;5.124789481669723E-13;1.0;0.8611111111111112;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.25-closeness;Loss;0.05;Atus;[k, ET];false;25;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;0.279822167573222;0.279822167584199;0.2798221675838299;5.124789481669723E-13;1.0;0.8333333333333334;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
equ.-dist.-0.05-closeness;Loss;0.05;Atus;[k, ET];false;5;;;0.05;;;Highest level of school completed;[Sex, Race, Age];3;;;;;1.0;1.0;1.0;5.124789481669723E-13;1.0;0.9722222222222222;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.17-closeness;Loss;0.05;Atus;[k, ET];false;5;;;0.17;;;Highest level of school completed;[Sex, Race, Age];3;;;;;0.29434848431874894;0.2943484843771118;0.29434848437675015;5.124789481669723E-13;1.0;0.8333333333333334;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.25-closeness;Loss;0.05;Atus;[k, ET];false;5;;;0.25;;;Highest level of school completed;[Sex, Race, Age];3;;;;;0.2799535278281884;0.27995352788579875;0.27995352788542976;5.124789481669723E-13;1.0;0.8333333333333334;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.05-closeness;Loss;0.05;Atus;[k, ET];false;15;;;0.05;;;Highest level of school completed;[Sex, Race, Age];3;;;;;1.0;1.0;1.0;5.124789481669723E-13;1.0;0.9722222222222222;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.17-closeness;Loss;0.05;Atus;[k, ET];false;15;;;0.17;;;Highest level of school completed;[Sex, Race, Age];3;;;;;0.29434848431874894;0.2943484843771118;0.29434848437675015;5.124789481669723E-13;1.0;0.8333333333333334;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.25-closeness;Loss;0.05;Atus;[k, ET];false;15;;;0.25;;;Highest level of school completed;[Sex, Race, Age];3;;;;;0.2799535278281884;0.27995352788579875;0.27995352788542976;5.124789481669723E-13;1.0;0.8333333333333334;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.05-closeness;Loss;0.05;Atus;[k, ET];false;25;;;0.05;;;Highest level of school completed;[Sex, Race, Age];3;;;;;1.0;1.0;1.0;5.124789481669723E-13;1.0;0.9722222222222222;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.17-closeness;Loss;0.05;Atus;[k, ET];false;25;;;0.17;;;Highest level of school completed;[Sex, Race, Age];3;;;;;0.29434848431874894;0.2943484843771118;0.29434848437675015;5.124789481669723E-13;1.0;0.8333333333333334;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.25-closeness;Loss;0.05;Atus;[k, ET];false;25;;;0.25;;;Highest level of school completed;[Sex, Race, Age];3;;;;;0.2799535278281884;0.27995352788579875;0.27995352788542976;5.124789481669723E-13;1.0;0.8333333333333334;18.0;Infinity;Infinity;0.0744819640134915;0.273372609888123;Infinity;Infinity;Infinity;0.7818685400452854;0.05823510446293408
equ.-dist.-0.05-closeness;Loss;0.05;Ihis;[k, ET];false;5;;;0.05;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.17-closeness;Loss;0.05;Ihis;[k, ET];false;5;;;0.17;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.85;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.25-closeness;Loss;0.05;Ihis;[k, ET];false;5;;;0.25;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.27537210689100156;0.27537210694351977;0.27537210694355696;-5.140332604014475E-14;1.0;0.8;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.05-closeness;Loss;0.05;Ihis;[k, ET];false;15;;;0.05;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.17-closeness;Loss;0.05;Ihis;[k, ET];false;15;;;0.17;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.85;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.25-closeness;Loss;0.05;Ihis;[k, ET];false;15;;;0.25;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.27537210689100156;0.27537210694351977;0.27537210694355696;-5.140332604014475E-14;1.0;0.8;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.05-closeness;Loss;0.05;Ihis;[k, ET];false;25;;;0.05;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.17-closeness;Loss;0.05;Ihis;[k, ET];false;25;;;0.17;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.85;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.25-closeness;Loss;0.05;Ihis;[k, ET];false;25;;;0.25;;;MARSTAT;[RACEA, SEX, AGE];3;;;;;0.27537210689100156;0.27537210694351977;0.27537210694355696;-5.140332604014475E-14;1.0;0.8;10.0;Infinity;Infinity;0.10061044214833882;0.23618186449312278;Infinity;Infinity;Infinity;0.7737661963999923;0.0778489591392416
equ.-dist.-0.05-closeness;Loss;0.05;Ihis;[k, ET];false;5;;;0.05;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.17-closeness;Loss;0.05;Ihis;[k, ET];false;5;;;0.17;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.25-closeness;Loss;0.05;Ihis;[k, ET];false;5;;;0.25;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.27619737138437395;0.27619737145111034;0.27619737145114753;-5.140332604014475E-14;1.0;0.8;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.05-closeness;Loss;0.05;Ihis;[k, ET];false;15;;;0.05;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.17-closeness;Loss;0.05;Ihis;[k, ET];false;15;;;0.17;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.25-closeness;Loss;0.05;Ihis;[k, ET];false;15;;;0.25;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.27619737138437395;0.27619737145111034;0.27619737145114753;-5.140332604014475E-14;1.0;0.8;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.05-closeness;Loss;0.05;Ihis;[k, ET];false;25;;;0.05;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.17-closeness;Loss;0.05;Ihis;[k, ET];false;25;;;0.17;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682205;-5.140332604014475E-14;1.0;0.9;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.25-closeness;Loss;0.05;Ihis;[k, ET];false;25;;;0.25;;;EDUC;[RACEA, SEX, AGE];3;;;;;0.27619737138437395;0.27619737145111034;0.27619737145114753;-5.140332604014475E-14;1.0;0.8;26.0;Infinity;Infinity;0.04274583947751905;0.19052051773601095;Infinity;Infinity;Infinity;0.8705659223292525;0.037213071170484543
equ.-dist.-0.05-closeness;Entropy;0.05;ACS13;[k, ET];false;5;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;513299.5339400734;513299.5339400462;0.8820370315144936;0.0;581947.8271322576;0.9285714285714286;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.17-closeness;Entropy;0.05;ACS13;[k, ET];false;5;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;466788.4218032474;466788.421803237;0.8021138666390301;0.0;581947.8271322576;0.8333333333333334;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.25-closeness;Entropy;0.05;ACS13;[k, ET];false;5;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;442263.5348693569;433855.4997448888;0.7455230168705272;0.0;581947.8271322576;0.7619047619047619;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.05-closeness;Entropy;0.05;ACS13;[k, ET];false;15;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;513299.5339400734;513299.5339400462;0.8820370315144936;0.0;581947.8271322576;0.9285714285714286;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.17-closeness;Entropy;0.05;ACS13;[k, ET];false;15;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;466788.4218032474;466788.421803237;0.8021138666390301;0.0;581947.8271322576;0.8333333333333334;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.25-closeness;Entropy;0.05;ACS13;[k, ET];false;15;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;442423.3478652919;433890.7836085989;0.745583647501084;0.0;581947.8271322576;0.7619047619047619;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.05-closeness;Entropy;0.05;ACS13;[k, ET];false;25;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;513299.5339400734;513299.5339400462;0.8820370315144936;0.0;581947.8271322576;0.9285714285714286;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.17-closeness;Entropy;0.05;ACS13;[k, ET];false;25;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;466788.4218032474;466788.421803237;0.8021138666390301;0.0;581947.8271322576;0.8333333333333334;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.25-closeness;Entropy;0.05;ACS13;[k, ET];false;25;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;442543.3440462646;433934.57231540413;0.745658892574205;0.0;581947.8271322576;0.7619047619047619;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.05-closeness;Entropy;0.05;ACS13;[k, ET];false;5;;;0.05;;;Education;[Sex, Race, Age];3;;;;;496856.92626537;477408.64321909135;0.8203633057136444;0.0;581947.8271322576;0.9047619047619048;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.17-closeness;Entropy;0.05;ACS13;[k, ET];false;5;;;0.17;;;Education;[Sex, Race, Age];3;;;;;451520.23587185406;412728.06358827295;0.7092183256738467;0.0;581947.8271322576;0.8095238095238095;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.25-closeness;Entropy;0.05;ACS13;[k, ET];false;5;;;0.25;;;Education;[Sex, Race, Age];3;;;;;428365.6881107799;413120.1804403779;0.7098921263718186;0.0;581947.8271322576;0.7142857142857143;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.05-closeness;Entropy;0.05;ACS13;[k, ET];false;15;;;0.05;;;Education;[Sex, Race, Age];3;;;;;496856.92626537;477408.64321909135;0.8203633057136444;0.0;581947.8271322576;0.9047619047619048;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.17-closeness;Entropy;0.05;ACS13;[k, ET];false;15;;;0.17;;;Education;[Sex, Race, Age];3;;;;;451520.23587185406;412728.06358827295;0.7092183256738467;0.0;581947.8271322576;0.8095238095238095;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.25-closeness;Entropy;0.05;ACS13;[k, ET];false;15;;;0.25;;;Education;[Sex, Race, Age];3;;;;;428365.6881107799;413120.1804403779;0.7098921263718186;0.0;581947.8271322576;0.7142857142857143;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.05-closeness;Entropy;0.05;ACS13;[k, ET];false;25;;;0.05;;;Education;[Sex, Race, Age];3;;;;;496856.92626537;477408.64321909135;0.8203633057136444;0.0;581947.8271322576;0.9047619047619048;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.17-closeness;Entropy;0.05;ACS13;[k, ET];false;25;;;0.17;;;Education;[Sex, Race, Age];3;;;;;451520.23587185406;412728.06358827295;0.7092183256738467;0.0;581947.8271322576;0.8095238095238095;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.25-closeness;Entropy;0.05;ACS13;[k, ET];false;25;;;0.25;;;Education;[Sex, Race, Age];3;;;;;428365.6881107799;413120.1804403779;0.7098921263718186;0.0;581947.8271322576;0.7142857142857143;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.05-closeness;Entropy;0.05;Atus;[k, ET];false;5;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;3737134.436804482;3737134.4368140884;1.0;0.0;3737134.4368140884;0.9722222222222222;7.0;Infinity;Infinity;0.14747871063025284;0.37423992077930024;Infinity;Infinity;Infinity;0.7552142278497167;0.1113780205728982
